Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Category (product.metafields.altuzarra.category),Color (product.metafields.altuzarra.color),Details (product.metafields.altuzarra.details),Get the look (product.metafields.altuzarra.look_products),Get the look image (product.metafields.altuzarra.look_image),Preorder Info (product.metafields.altuzarra.preorder_info),Shipping & Returns (product.metafields.altuzarra.shipping_returns),Size guide Markup (product.metafields.altuzarra.size_guide),Subcategory (product.metafields.altuzarra.subcategory),Swatch: Color (product.metafields.altuzarra.swatch_color),Swatch: Image (product.metafields.altuzarra.swatch_image),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),SEO Hidden (product.metafields.seo.hidden),SEO Disable in recommendations (product.metafields.seo.recommendation-disabled),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
askania-coat-tahini-melange,Askania Coat,<p>The Askania coat is made from tactile bouclé that's blended with naturally insulating wool. It features a double-breasted silhouette with an oversized collar.</p>,Altuzarra,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,COAT,"DTC BUY, S126, S126-1008 AWM040 000182 TAHINI MELANGE, SS26, style_Askania Coat, color_tahini melange, collection_jackets, collection_ready-to-wear, collection_new-arrivals",FALSE,Size,34,,Color,Tahini Melange,,,,,840483418226,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418226,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_ghost_0636.jpg,1,,FALSE,Askania Coat in Tahini Melange,The Askania coat is made from tactile bouclé that's blended with naturally insulating wool. It features a double-breasted silhouette with an oversized collar.,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,female,adult,,NEW,FALSE,COAT,S126,S126-1008 AWM040 000182 TAHINI MELANGE,,,,ivory,- 50% Virgin Wool 19%Viscose 18%Poly-Cotton 11%Polyester 2%Polyamide. Made In Italy,,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_hero_image__018.jpg,,,,READY TO WEAR,,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_swatch.jpg,FALSE,,,,,,,,,,lb,PC040100,583.86,active
askania-coat-tahini-melange,,,,,,,,,36,,,Tahini Melange,,,,,840483418233,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418233,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_hero_image__018.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,38,,,Tahini Melange,,,,,840483418240,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418240,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_model_image_1_023.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,40,,,Tahini Melange,,,,,840483418257,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418257,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_model_image_2_026.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,42,,,Tahini Melange,,,,,840483418264,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418264,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_model_image_3_029.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,44,,,Tahini Melange,,,,,840483418271,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418271,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-1008 AWM040 000182 TAHINI MELANGE_FINAL_model_image_4_026.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,46,,,Tahini Melange,,,,,840483418288,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
askania-coat-tahini-melange,Askania Coat,<p>The Askania coat is made from tactile bouclÃ© that's blended with naturally insulating wool. It features a double-breasted silhouette with an oversized collar.</p>,Altuzarra,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,COAT,"DTC BUY, S126, S126-1008 AWM040 000182 TAHINI MELANGE, SS26",FALSE,Size,34,,Color,Tahini Melange,,,,,840483418226,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418226,,,,FALSE,Askania Coat in Tahini Melange,The Askania coat is made from tactile bouclÃ© that's blended with naturally insulating wool. It features a double-breasted silhouette with an oversized collar.,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,female,adult,,NEW,FALSE,COAT,S126,S126-1008 AWM040 000182 TAHINI MELANGE,,,,ivory,,,,,,,,,,FALSE,,,,,,,,,,lb,PC040100,583.86,active
askania-coat-tahini-melange,,,,,,,,,36,,,Tahini Melange,,,,,840483418233,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,38,,,Tahini Melange,,,,,840483418240,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,40,,,Tahini Melange,,,,,840483418257,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,42,,,Tahini Melange,,,,,840483418264,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,44,,,Tahini Melange,,,,,840483418271,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,
askania-coat-tahini-melange,,,,,,,,,46,,,Tahini Melange,,,,,840483418288,1999.979478,shopify,deny,manual,2795,,TRUE,TRUE,840483418288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,PC040100,583.86,